I,GEN,LogL,RateVector,State,N,F,Total
149,14900,-448.212,Functional,F,9,38,47
150,15000,-448.097,Non-functional,N,28,6,34
150,15000,-448.097,Functional,F,9,38,47
151,15100,-365.285,Non-functional,N,23,7,30
151,15100,-365.285,Functional,F,7,40,47
152,15200,-366.076,Non-functional,N,23,7,30
152,15200,-366.076,Functional,F,7,40,47
153,15300,-366.366,Non-functional,N,23,7,30
153,15300,-366.366,Functional,F,7,40,47
154,15400,-365.866,Non-functional,N,23,7,30
154,15400,-365.866,Functional,F,7,40,47
155,15500,-365.249,Non-functional,N,23,7,30
155,15500,-365.249,Functional,F,7,40,47
156,15600,-362.643,Non-functional,N,18,5,23
156,15600,-362.643,Functional,F,9,39,48
157,15700,-362.255,Non-functional,N,18,5,23
157,15700,-362.255,Functional,F,9,39,48
158,15800,-362.503,Non-functional,N,18,5,23
158,15800,-362.503,Functional,F,9,39,48
159,15900,-362.318,Non-functional,N,18,5,23
159,15900,-362.318,Functional,F,9,39,48
160,16000,-362.239,Non-functional,N,18,5,23
160,16000,-362.239,Functional,F,9,39,48
161,16100,-335.402,Non-functional,N,19,4,23
161,16100,-335.402,Functional,F,10,30,40
162,16200,-336.163,Non-functional,N,19,4,23
162,16200,-336.163,Functional,F,10,30,40
163,16300,-336.22,Non-functional,N,19,4,23
163,16300,-336.22,Functional,F,10,30,40
164,16400,-338.454,Non-functional,N,19,4,23
164,16400,-338.454,Functional,F,10,30,40
165,16500,-336.322,Non-functional,N,19,4,23
165,16500,-336.322,Functional,F,10,30,40
166,16600,-449.977,Non-functional,N,15,4,19
166,16600,-449.977,Functional,F,10,47,57
167,16700,-450.151,Non-functional,N,15,4,19
167,16700,-450.151,Functional,F,10,47,57
168,16800,-452.438,Non-functional,N,15,4,19
168,16800,-452.438,Functional,F,10,47,57
169,16900,-450.396,Non-functional,N,15,4,19
169,16900,-450.396,Functional,F,10,47,57
170,17000,-450.91,Non-functional,N,15,4,19
170,17000,-450.91,Functional,F,10,47,57
171,17100,-419.015,Non-functional,N,25,5,30
171,17100,-419.015,Functional,F,9,34,43
172,17200,-417.9,Non-functional,N,25,5,30
172,17200,-417.9,Functional,F,9,34,43
173,17300,-416.58,Non-functional,N,25,5,30
173,17300,-416.58,Functional,F,9,34,43
174,17400,-416.472,Non-functional,N,25,5,30
174,17400,-416.472,Functional,F,9,34,43
175,17500,-416.43,Non-functional,N,25,5,30
175,17500,-416.43,Functional,F,9,34,43
176,17600,-481.056,Non-functional,N,23,2,25
176,17600,-481.056,Functional,F,12,47,59
177,17700,-482.102,Non-functional,N,23,2,25
177,17700,-482.102,Functional,F,12,47,59
178,17800,-481.125,Non-functional,N,23,2,25
178,17800,-481.125,Functional,F,12,47,59
179,17900,-480.828,Non-functional,N,23,2,25
179,17900,-480.828,Functional,F,12,47,59
180,18000,-479.929,Non-functional,N,23,2,25
180,18000,-479.929,Functional,F,12,47,59
181,18100,-399.341,Non-functional,N,16,3,19
181,18100,-399.341,Functional,F,11,44,55
182,18200,-397.164,Non-functional,N,16,3,19
182,18200,-397.164,Functional,F,11,44,55
183,18300,-398.148,Non-functional,N,16,3,19
183,18300,-398.148,Functional,F,11,44,55
184,18400,-399.163,Non-functional,N,16,3,19
184,18400,-399.163,Functional,F,11,44,55
185,18500,-398.673,Non-functional,N,16,3,19
185,18500,-398.673,Functional,F,11,44,55
186,18600,-396.055,Non-functional,N,14,2,16
186,18600,-396.055,Functional,F,12,46,58
187,18700,-395.493,Non-functional,N,14,2,16
187,18700,-395.493,Functional,F,12,46,58
188,18800,-395.342,Non-functional,N,14,2,16
188,18800,-395.342,Functional,F,12,46,58
189,18900,-394.78,Non-functional,N,14,2,16
189,18900,-394.78,Functional,F,12,46,58
190,19000,-395.347,Non-functional,N,14,2,16
190,19000,-395.347,Functional,F,12,46,58
191,19100,-388.16,Non-functional,N,22,1,23
191,19100,-388.16,Functional,F,13,42,55
192,19200,-387.507,Non-functional,N,22,1,23
192,19200,-387.507,Functional,F,13,42,55
193,19300,-387.466,Non-functional,N,22,1,23
193,19300,-387.466,Functional,F,13,42,55
194,19400,-387.876,Non-functional,N,22,1,23
194,19400,-387.876,Functional,F,13,42,55
195,19500,-386.83,Non-functional,N,22,1,23
195,19500,-386.83,Functional,F,13,42,55
196,19600,-410.56,Non-functional,N,18,3,21
196,19600,-410.56,Functional,F,11,39,50
197,19700,-410.48,Non-functional,N,18,3,21
197,19700,-410.48,Functional,F,11,39,50
198,19800,-409.989,Non-functional,N,18,3,21
198,19800,-409.989,Functional,F,11,39,50
199,19900,-411.785,Non-functional,N,18,3,21
199,19900,-411.785,Functional,F,11,39,50
200,20000,-413.022,Non-functional,N,18,3,21
200,20000,-413.022,Functional,F,11,39,50
