I,GEN,LogL,N_freq,F_freq,fixed_one,NN,NtoF,FtoN,FF,U
144,14400,-26.707852,0.218686,0.003508,0.010000,0.271314,0.228686,0.013508,0.486492,0.500000
145,14500,-26.903964,0.231371,0.019152,0.010000,0.258629,0.241371,0.029152,0.470848,0.500000
146,14600,-23.215086,0.223067,0.010209,0.010000,0.266933,0.233067,0.020209,0.479791,0.500000
147,14700,-23.211159,0.226578,0.009832,0.010000,0.263422,0.236578,0.019832,0.480168,0.500000
148,14800,-23.485784,0.192884,0.035494,0.010000,0.297116,0.202884,0.045494,0.454506,0.500000
149,14900,-23.700501,0.189225,0.054599,0.010000,0.300775,0.199225,0.064599,0.435401,0.500000
150,15000,-23.700790,0.183761,0.054624,0.010000,0.306239,0.193761,0.064624,0.435376,0.500000
151,15100,-15.992611,0.194767,0.037724,0.010000,0.295233,0.204767,0.047724,0.452276,0.500000
152,15200,-15.943994,0.220513,0.030335,0.010000,0.269487,0.230513,0.040335,0.459665,0.500000
153,15300,-15.977354,0.223817,0.035418,0.010000,0.266183,0.233817,0.045418,0.454582,0.500000
154,15400,-15.785388,0.248509,0.005379,0.010000,0.241491,0.258509,0.015379,0.484621,0.500000
155,15500,-15.756366,0.247328,0.000668,0.010000,0.242672,0.257328,0.010668,0.489332,0.500000
156,15600,-15.611060,0.262631,0.004462,0.010000,0.227369,0.272631,0.014462,0.485538,0.500000
157,15700,-15.603778,0.241462,0.003282,0.010000,0.248538,0.251462,0.013282,0.486718,0.500000
158,15800,-15.619822,0.264803,0.005878,0.010000,0.225197,0.274803,0.015878,0.484122,0.500000
159,15900,-15.681730,0.298821,0.015766,0.010000,0.191179,0.308821,0.025766,0.474234,0.500000
160,16000,-15.610202,0.315635,0.004323,0.010000,0.174365,0.325635,0.014323,0.485677,0.500000
161,16100,-16.050166,0.317305,0.013035,0.010000,0.172695,0.327305,0.023035,0.476965,0.500000
162,16200,-15.981162,0.307886,0.001937,0.010000,0.182114,0.317886,0.011937,0.488063,0.500000
163,16300,-16.012165,0.338644,0.006955,0.010000,0.151356,0.348644,0.016955,0.483045,0.500000
164,16400,-16.023977,0.328479,0.008853,0.010000,0.161521,0.338479,0.018853,0.481147,0.500000
165,16500,-16.039755,0.296015,0.011377,0.010000,0.193985,0.306015,0.021377,0.478623,0.500000
166,16600,-16.347251,0.310168,0.024647,0.010000,0.179832,0.320168,0.034647,0.465353,0.500000
167,16700,-16.277508,0.272638,0.013702,0.010000,0.217362,0.282638,0.023702,0.476298,0.500000
168,16800,-16.196595,0.309593,0.000681,0.010000,0.180407,0.319593,0.010681,0.489319,0.500000
169,16900,-16.273140,0.346099,0.013008,0.010000,0.143901,0.356099,0.023008,0.476992,0.500000
170,17000,-16.223105,0.373857,0.004986,0.010000,0.116143,0.383857,0.014986,0.485014,0.500000
171,17100,-22.481658,0.403235,0.010517,0.010000,0.086765,0.413235,0.020517,0.479483,0.500000
172,17200,-22.517061,0.407345,0.013900,0.010000,0.082655,0.417345,0.023900,0.476100,0.500000
173,17300,-22.485235,0.419633,0.010860,0.010000,0.070367,0.429633,0.020860,0.479140,0.500000
174,17400,-22.770555,0.408034,0.037436,0.010000,0.081966,0.418034,0.047436,0.452564,0.500000
175,17500,-22.792644,0.344856,0.039431,0.010000,0.145144,0.354856,0.049431,0.450569,0.500000
176,17600,-19.812859,0.368997,0.069881,0.010000,0.121003,0.378997,0.079881,0.420119,0.500000
177,17700,-19.773597,0.377384,0.065737,0.010000,0.112616,0.387384,0.075737,0.424263,0.500000
178,17800,-19.966104,0.368575,0.085672,0.010000,0.121425,0.378575,0.095672,0.404328,0.500000
179,17900,-19.974472,0.343075,0.086517,0.010000,0.146925,0.353075,0.096517,0.403483,0.500000
180,18000,-19.871449,0.346227,0.075990,0.010000,0.143773,0.356227,0.085990,0.414010,0.500000
181,18100,-22.238038,0.352532,0.026115,0.010000,0.137468,0.362532,0.036115,0.463885,0.500000
182,18200,-22.508704,0.351384,0.050559,0.010000,0.138616,0.361384,0.060559,0.439441,0.500000
183,18300,-22.793936,0.327272,0.074926,0.010000,0.162728,0.337272,0.084926,0.415074,0.500000
184,18400,-22.273387,0.289625,0.029383,0.010000,0.200375,0.299625,0.039383,0.460617,0.500000
185,18500,-22.312234,0.283650,0.032948,0.010000,0.206350,0.293650,0.042948,0.457052,0.500000
186,18600,-30.649704,0.259723,0.034660,0.010000,0.230277,0.269723,0.044660,0.455340,0.500000
187,18700,-31.191721,0.250482,0.068587,0.010000,0.239518,0.260482,0.078587,0.421413,0.500000
188,18800,-31.469476,0.255838,0.084981,0.010000,0.234162,0.265838,0.094981,0.405019,0.500000
189,18900,-31.399125,0.281626,0.080890,0.010000,0.208374,0.291626,0.090890,0.409110,0.500000
190,19000,-32.216208,0.282076,0.125962,0.010000,0.207924,0.292076,0.135962,0.364038,0.500000
191,19100,-25.150539,0.257727,0.125332,0.010000,0.232273,0.267727,0.135332,0.364668,0.500000
192,19200,-25.368259,0.213422,0.147650,0.010000,0.276578,0.223422,0.157650,0.342350,0.500000
193,19300,-25.366673,0.207287,0.132088,0.010000,0.282713,0.217287,0.142088,0.357912,0.500000
194,19400,-25.330468,0.215676,0.133296,0.010000,0.274324,0.225676,0.143296,0.356704,0.500000
195,19500,-25.292031,0.231486,0.085264,0.010000,0.258514,0.241486,0.095264,0.404736,0.500000
196,19600,-12.895608,0.206482,0.064958,0.010000,0.283518,0.216482,0.074958,0.425042,0.500000
197,19700,-13.110437,0.216219,0.108247,0.010000,0.273781,0.226219,0.118247,0.381753,0.500000
198,19800,-13.134142,0.202167,0.112745,0.010000,0.287833,0.212167,0.122745,0.377255,0.500000
199,19900,-13.005037,0.206150,0.087589,0.010000,0.283850,0.216150,0.097589,0.402411,0.500000
200,20000,-12.903256,0.234663,0.066580,0.010000,0.255337,0.244663,0.076580,0.423420,0.500000
